가맹점 명,주소,데이터기준일자,위도,경도
제일전기철물,부산 사하구 낙동대로 153,2026-04-24,35.10241803,128.9994586
실루엣,부산 동구 대영로243번길,2026-04-24,35.11485025,129.0386264
상대양과,부산 동래구 온천장로125번길 41-2,2026-04-24,35.22311398,129.0831495
고려안경,부산 부산진구 부전동,2026-04-24,35.1561936,129.0580762
으뜸50안경 동래점,부산 동래구 충렬대로 245,2026-04-24,35.20150338,129.086138
동양강철,부산 사하구 두송로 232,2026-04-24,35.0718288,128.9894297
숭인한의원,부산 부산진구  가야대로756번길,2026-04-24,35.15673188,129.0541581
제일안경점,부산 동래구 충렬대로237번길 74,2026-04-24,35.20468044,129.0846759
동래아케이드,부산 동래구 수안동,2026-04-24,35.19673854,129.0858769
웅천집,부산 북구 금곡대로616번길 7-14,2026-04-24,35.26257491,129.0153146
한양자전거상회,부산 영도구 영선동1가,2026-04-24,35.09098633,129.0435203
마운틴뱅크,부산 수영구 수영로 718,2026-04-24,35.16801989,129.117972
팜스프링스 부산광복점,부산 중구 광복로39번길 6,2026-04-24,35.09972042,129.0295871
영진의원,부산 남구 못골로,2026-04-24,35.13585222,129.0881717
대성관,부산 금정구 금강로 179,2026-04-24,35.2247451,129.0818121
니코보코,부산 중구 남포동6가,2026-04-24,35.09752165,129.0267754
종암장식,부산 동구 중앙대로460번길 53,2026-04-24,35.13597787,129.0567983
노베르또양화점,부산 중구 남포동6가,2026-04-24,35.09752165,129.0267754
부일장식,부산 사하구 낙동대로 306,2026-04-24,35.09991944,128.9837125
만제한의원,부산 부산진구 백양관문로 7,2026-04-24,35.16005067,129.0303523
밍스Minx,부산 부산진구 중앙대로 지하 737,2026-04-24,35.16023309,129.0611055
석정,부산 수영구 수영로680번길 30,2026-04-24,35.16613617,129.1166606
송원감자탕,부산 동구 초량동,2026-04-24,35.12133552,129.0335864
올리비아로렌,부산 사상구 가야대로 283,2026-04-24,35.15093006,129.0035424
비발디,부산 북구 만덕2동,2026-04-24,35.21020186,129.0371975
호도인,부산 금정구 구서로 5,2026-04-24,35.24651263,129.0902236
삼성사,부산 중구 중앙동1가,2026-04-24,35.10077391,129.0357598
권보석,부산 수영구 광안해변로277번길 56,2026-04-24,35.15829626,129.1235369
(구)경포횟집,부산 수영구 민락수변로 1,2026-04-24,35.1555589,129.1238214
시즈,부산 부산진구 중앙대로 지하 737,2026-04-24,35.16023309,129.0611055
광안오스카안경원,부산 수영구 광안1동,2026-04-24,35.16288863,129.1124328
삼문약국,부산 사하구 낙동대로 255,2026-04-24,35.09899191,128.9891304
아이뷰안경(망미점),부산 수영구 과정로 63,2026-04-24,35.17705012,129.1070646
명진종합상사,부산 동구 홍곡로 28-1,2026-04-24,35.12251827,129.0394538
21세기종합유통상사,부산 부산진구 새싹로 198,2026-04-24,35.17382886,129.0493269
해림이네,부산 해운대구 청사포로 159,2026-04-24,35.16260478,129.194442
미보공예가구,부산 사상구 대동로 98,2026-04-24,35.13729145,128.9791721
동양종합상사,부산 금정구 중앙대로 1977-1,2026-04-24,35.26102172,129.0912637
(주)흙,부산 사상구 학감대로192번길 60-30,2026-04-24,35.14690603,128.9923599
티스테이션 남구 용호점,부산 남구 용호로 86,2026-04-24,35.1245925,129.1122763
우정사,부산 동구 범일2동,2026-04-24,35.13652079,129.0620215
세븐일레븐부산기장교리점,부산 기장군 기장읍 차성로,2026-04-24,35.23813998,129.2133204
기아오토큐 명지점,부산 강서구 새진목길 94,2026-04-24,35.11412584,128.9238645
풍년식당,부산 동래구 명륜로 80-8,2026-04-24,35.20096408,129.0846294
삼일상회,부산 동구 진시장로 24,2026-04-24,35.13642339,129.0588362
개풍물산,부산광역시 중구 부평1길 45,2026-04-24,35.1015277,129.0257482
코디,부산 사상구 광장로 7,2026-04-24,35.16433608,128.9777161
피자스쿨동서대점,부산 사상구 가야대로366번길 54,2026-04-24,35.14864794,129.012717
파크랜드 부산반여점,부산 해운대구 선수촌로 137,2026-04-24,35.20554453,129.1208094
지지패션,부산 사상구 사상로 484,2026-04-24,35.18767126,128.9878475
풍미아구찜,부산 해운대구 좌동순환로446번길 19-14,2026-04-24,35.16242481,129.1735833
아름다운 전기조명,부산 동래구 충렬대로148번길 6,2026-04-24,35.20486801,129.0762753
한미안경,부산 동구 중앙대로 505,2026-04-24,35.13828405,129.0561397
경호상사,부산 금정구 금강로 338-1,2026-04-24,35.23827924,129.0865996
중앙카정비,부산 남구 전포대로 85,2026-04-24,35.14444294,129.0662983
혜민한의원,부산 서구 구덕로322번길 15,2026-04-24,35.11286189,129.0172988
요산한의원,부산 수영구 황령산로7번길 46,2026-04-24,35.14613618,129.1085866
디&와이인터내셔날(D&Y인터내셔날),부산 중구 광복중앙로 5,2026-04-24,35.09975518,129.0310786
우아미가구좌천동대리점,부산 동구  중앙대로 473 (좌천동),2026-04-24,35.13582693,129.0555022
크로바,부산 사하구 사하로 166,2026-04-24,35.09640617,128.9940151
목화악기,부산 부산진구 중앙대로 890,2026-04-24,35.16974135,129.0689828
현대등산,부산광역시 부산진구 중앙대로 지하717,2026-04-24,35.15523714,129.0591398
정음사,부산 부산진구 부전1동,2026-04-24,35.16350647,129.0630056
트렉스타(신우등산),부산 중구 중앙대로 53,2026-04-24,35.10233836,129.0361185
W(더블유)호텔,부산 부산진구  부전로20번길 19 (부전동),2026-04-24,35.15274899,129.0566869
신애성구,부산 부산진구 동성로 143,2026-04-24,35.16085844,129.0632892
밀림북,부산 서구 구덕로185번길 32-15,2026-04-24,35.10184424,129.0183568
밝은눈안경원,부산 해운대구 반송1동,2026-04-24,35.22516422,129.1479057
삼성전자연산대리점,부산 연제구 연수로 201,2026-04-24,35.17400324,129.0928123
온천약국,부산 동래구  금강공원로,2026-04-24,35.21889221,129.0804974
