연번,쉼터명,주소,경도,위도
152,동삼3동행정복지센터,부산광역시 영도구 상리로 39,129.068675,35.084736
153,부전1동노인경로당,부산광역시 부산진구 부전로 130-10 ,129.0560129,35.1608542
154,부전1동할머니경로당,부산광역시 부산진구 부전로 130-10 ,129.0560183,35.160852
155,서부경로당,부산광역시 부산진구 새싹로 90-1 ,129.0535668,35.1650424
156,진산경로당,부산광역시 부산진구 범전로32번길 66,129.0642747,35.1665592
157,범양경로당,부산광역시 부산진구 경마장로5번길 30,129.0643895,35.1693268
158,범전할머니경로당,부산광역시 부산진구 범전로33번길 56-7 ,129.0582633,35.1645973
159,범전동아름다운경로당,부산광역시 부산진구 범양로 48,129.0633158,35.1691035
160,부전1동주민센터,부산광역시 부산진구 범전로5번길 13,129.0630071,35.163506
161,부전2동제2경로당,부산광역시 부산진구 신천대로 148,129.0517858,35.1551966
162,네오스포경로당,부산광역시 부산진구 신천대로 122,129.0540483,35.153627
163,부전2동제1경로당,부산광역시 부산진구 신천대로 94,129.0556401,35.1516702
164,세동한신경로당,부산광역시 부산진구 새싹로 183,129.0489385,35.1717837
165,연지경로당,부산광역시 부산진구 성지로8번길 12-1 ,129.0566888,35.171458
166,연지한신타워경로당,부산광역시 부산진구 성지로61번길 30,129.0527516,35.1762501
167,연지2차청구아파트경로당,부산광역시 부산진구 동평로291번길 30-17 ,129.0571406,35.1741138
168,연지자이1차아파트경로당,부산광역시 부산진구 동평로183번길 67,129.0483357,35.1696797
169,영선회경로당,부산광역시 부산진구 동평로183번길 50,129.0492709,35.1691106
170,연지자이2차아파트경로당,부산광역시 부산진구 초연로 11,129.0478096,35.1723073
171,연지동주민센터,부산광역시 부산진구 국악로 30,129.0528157,35.1727735
172,삼환아파트노인정,부산광역시 부산진구 성지곡로 67,129.0481819,35.1878155
173,선경성지곡아파트경로당,부산광역시 부산진구 새싹로 221,129.0475807,35.1758608
174,장수정경로당,부산광역시 부산진구 성지로122번길 34-2 ,129.0523517,35.1812667
175,초연경로당,부산광역시 부산진구 성지로51번길 53,129.0528716,35.1770087
176,초읍제일경로당,부산광역시 부산진구 성지로143번길 9,129.048913,35.1810841
177,초읍제일할머니경로당,부산광역시 부산진구 성지로143번길 9,129.048913,35.1810841
178,초읍한신아파트경로당,부산광역시 부산진구 월드컵대로 449,129.0521172,35.1833224
179,초읍노인정,부산광역시 부산진구 초읍천로43번길 14,129.0462162,35.1764675
180,원당골경로당,부산광역시 부산진구 성지로74번나길 49,129.0576253,35.1792168
181,대원칸타빌멤버스노인정,부산광역시 부산진구 거제대로 26,129.0681786,35.1710388
182,대림할머니경로당,부산광역시 부산진구 범양로79번길 40,129.0624272,35.1727586
183,성우경로당,부산광역시 부산진구 양성로59번길 14,129.0634561,35.1710866
184,양정현대1차노인정,부산광역시 부산진구 동평로 352,129.063065,35.17314
185,양지경로당,부산광역시 부산진구 양지로17번길 39,129.0710853,35.170376
186,익수경로당,부산광역시 부산진구 범양로79번길 40,129.0624272,35.1727586
187,정화경로당,부산광역시 부산진구 범양로117번길 24,129.0644293,35.1736365
188,한나경로당,부산광역시 부산진구 양지로17번길 76,129.0723894,35.1715972
189,화산경로당,부산광역시 부산진구 범양로 122-1 ,129.0658861,35.1739136
190,황령경로당,부산광역시 부산진구 양지로17번길 39,129.0710853,35.170376
191,양정현대2차할머니경로당,부산광역시 부산진구 거제대로 37,129.0655236,35.1719996
192,양정2동제일경로당,부산광역시 부산진구 양연로10번길 15-1 ,129.0783584,35.1742972
193,갤러리움노인정,부산광역시 부산진구 중앙대로969번길 11,129.0726991,35.1758843
194,양연경로당,부산광역시 부산진구 양연로16번길 26-1 ,129.077889,35.1740084
195,양정2동경로당,부산광역시 부산진구 중앙대로979번길 10-6 ,129.073833,35.177273
196,동백부인경로당,부산광역시 부산진구 서전로68번길 43-1 ,129.0675235,35.1559209
197,본동경로당,부산광역시 부산진구 서전로68번길 43-1 ,129.0674818,35.1558943
198,송죽부인경로당,부산광역시 부산진구 진남로 336,129.0719704,35.1554036
199,영생경로당,부산광역시 부산진구 전포대로186번길 21,129.0667515,35.1531658
200,영운경로당,부산광역시 부산진구 진남로362번길 30,129.0709953,35.1576531
201,일심경로당,부산광역시 부산진구 진남로 336,129.0719576,35.1554113
202,협성부녀경로당,부산광역시 부산진구 진남로356번길 51,129.0719569,35.1578091
203,청우경로당,부산광역시 부산진구 진남로 336,129.0719624,35.155425
204,전포종합사회복지관,부산광역시 부산진구 전포대로190번길 35,129.067666,35.1536555
205,전포부녀노인정,부산광역시 부산진구 황령대로90번길 36,129.0686758,35.1486259
206,근화경로당,부산광역시 부산진구 봉수로15번길 78,129.0713059,35.1536322
207,삼우경로당,부산광역시 부산진구 진남로 311-2 ,129.0721233,35.1529956
208,삼정경로당,부산광역시 부산진구 황령대로74번길 15,129.0675462,35.1490141
209,성북경로당,부산광역시 부산진구 서전로68번길 127-7 ,129.0676081,35.1519832
210,영우경로당,부산광역시 부산진구 봉수로 31,129.0710176,35.1514347
211,영하경로당,부산광역시 부산진구 봉수로15번길 78,129.0713059,35.1536322
212,한라비발디아파트경로당,부산광역시 부산진구 전포대로 156,129.0660737,35.1506613
213,칠우경로당,부산광역시 부산진구 전포대로162번길 31-1 ,129.0672487,35.1510167
214,황령경로당,부산광역시 부산진구 진남로291번길 39,129.0722337,35.1498928
215,황령부녀경로당,부산광역시 부산진구 진남로291번길 39,129.0722372,35.1498924
216,감로부녀경로당,부산광역시 부산진구 진남로425번길 5-8 ,129.0688272,35.1620294
